videoId,title,description,channelTitle,channelId,publishedAt,searchQuery,url,viewCount,likeCount,commentCount,commentsFetched
V07bI_iyMVA,Hantavirus cruise ship docks after seven weeks at sea,"For more context and news coverage of the most important stories of our day, click here: https://www.nbcnews.com » Subscribe to ...",NBC News,UCeY0bbntWzzVIaj2z3QigXg,2026-05-18T12:58:33Z,hantavirus outbreak news,https://www.youtube.com/watch?v=V07bI_iyMVA,1203,19,2,2
KpZN0OA0GNc,Hantavirus outbreak sparks global health concerns and panic-driven speculation,The Hantavirus outbreak linked to the MV Hondius cruise ship has brought issues of disease outbreaks and pandemic ...,SABC News,UC8yH-uI81UUtEMDsowQyx1g,2026-05-17T16:21:21Z,hantavirus outbreak news,https://www.youtube.com/watch?v=KpZN0OA0GNc,8456,0,25,17
4URktweTzV4,Cruise ship linked to deadly hantavirus outbreak to reach Netherlands I Know what happened so far,The cruise ship linked to the deadly hantavirus outbreak is expected to reach Rotterdam after multiple infections and deaths were ...,The New Indian Express,UCQtVJ-76KjPds9evTODkq-A,2026-05-18T08:08:09Z,hantavirus outbreak news,https://www.youtube.com/watch?v=4URktweTzV4,3973,22,6,5
jbm9i7D8ues,Cruise ship hit by deadly hantavirus outbreak arrives in the NetherlandsMV,"The MV Hondius cruise ship, which has been rocked by a deadly hantavirus outbreak, has docked at its final destination in the ...",CBC News,UCuFFtHWoLl5fauMMD5Ww2jA,2026-05-18T14:02:37Z,hantavirus outbreak news,https://www.youtube.com/watch?v=jbm9i7D8ues,1261,16,0,0
COt1faxmdO0,Hantavirus Outbreak | Learn English with the News,Today you'll learn English with a news article about Hantavirus to improve your fluency fast while building advanced vocabulary ...,JForrest English,UCLNBasuHKOILIwewAetJO6g,2026-05-18T12:00:30Z,hantavirus outbreak news,https://www.youtube.com/watch?v=COt1faxmdO0,1480,253,26,23
4KWbgoo60D4,Last people aboard hantavirus ship finally disembark,"The MV Hondius was carrying 25 crew members and two medical personnel as it reached Rotterdam, after all the passengers ...",Sky News,UCoMdktPbSTixAyNGwb-UYkQ,2026-05-18T12:01:14Z,hantavirus outbreak news,https://www.youtube.com/watch?v=4KWbgoo60D4,1574,17,1,1
r3OBHJRHv7o,What are the origins of hantavirus? How the virus tied to the cruise ship outbreak came to be.,"The deadly hantavirus outbreak on a Dutch-flagged cruise ship was caused by the Andes virus, the only known strain to spread ...",CBS News,UC8p1vwvWtl6T73JiExfWs1g,2026-05-15T15:35:40Z,hantavirus outbreak news,https://www.youtube.com/watch?v=r3OBHJRHv7o,13614,111,23,15
1VvqvxtYFx0,🚢 🤢 Hantavirus Cruise Ship Outbreak: “Close Contact” - What It Really Means [Dr. Frita Explains],Did you know that just 15 minutes within six feet of someone infected with hantavirus could be enough exposure to change ...,Dr. Frita,UCBve_ppCNE67fs3MsIocitg,2026-05-16T15:09:59Z,hantavirus outbreak news,https://www.youtube.com/watch?v=1VvqvxtYFx0,56659,1957,111,70
fz4CUcb2GzY,How Worried Should We Be About Hantavirus?,"Our global health reporter, Apoorva Mandavilli, explains that there is no indication the hantavirus outbreak could turn into a ...",The New York Times,UCqnbDFdCpuN8CMEg0VuEBqA,2026-05-13T16:45:07Z,hantavirus outbreak news,https://www.youtube.com/watch?v=fz4CUcb2GzY,64517,1596,98,43
xGd0cmOyRJ8,LIVE: Hantavirus Outbreak News: 3 Dead On Cruise Ship | WHO Chief Briefs On Hantavirus | India Today,"A rare Hantavirus outbreak has struck the luxury expedition cruise ship MV Hondius, leaving three passengers dead and several ...",India Today,UCYPvAwZP8pZhSMW8qs7cVCw,2026-05-17T02:09:55Z,hantavirus outbreak news,https://www.youtube.com/watch?v=xGd0cmOyRJ8,17065,59,3,3
JUa1-X6DJYs,Officials tracking at least 41 Americans after deadly hantavirus outbreak,"The number of Americans being monitored after the deadly hantavirus cruise ship outbreak has grown to at least 41, including ...",ABC News,UCBi2mrWuNuyYy4gbM6fU18Q,2026-05-15T01:46:41Z,hantavirus outbreak news,https://www.youtube.com/watch?v=JUa1-X6DJYs,51242,343,306,143
wf6JWXltPhw,Why health officials expect hantavirus cases to continue rising,Global health officials are warning that hantavirus cases stemming from a cruise ship outbreak could continue to rise. Dr. Abraar ...,CBS News,UC8p1vwvWtl6T73JiExfWs1g,2026-05-13T00:38:50Z,hantavirus outbreak news,https://www.youtube.com/watch?v=wf6JWXltPhw,103603,877,621,336
8KdPIm2kBG8,"The tickets for hantavirus outbreak cruise were reportedly as high as $25,000. #BBCNews",,BBC News,UC16niRr50-MSBwiO3YDb3RA,2026-05-08T20:45:00Z,hantavirus cruise ship outbreak,https://www.youtube.com/watch?v=8KdPIm2kBG8,155377,1685,125,83
6APyWEJPXGs,Ship at center of Hantavirus outbreak arrives in Rotterdam for decontamination,The cruise ship tied to the deadly Hantavirus outbreak has arrived for a full decontamination.,10 Tampa Bay News,UCMYlXK0jyerVnc3dmz-vjCA,2026-05-18T14:27:04Z,hantavirus cruise ship outbreak,https://www.youtube.com/watch?v=6APyWEJPXGs,12,0,0,0
PvlKk5FzYUY,What is hantavirus? Doctor reacts to cruise outbreak,Three people are dead and at least three others are sick after a suspected outbreak of hantavirus aboard a cruise ship sailing in ...,CNN,UCupvZG-5ko_eiXAupbDfxWw,2026-05-04T23:26:24Z,hantavirus cruise ship outbreak,https://www.youtube.com/watch?v=PvlKk5FzYUY,294256,3169,1690,791
qvVlm4UdV3o,Three dead in suspected hantavirus outbreak on Atlantic cruise ship | BBC News,Three people have died after a suspected hantavirus outbreak on a cruise ship travelling from Argentina to Cape Verde.,BBC News,UC16niRr50-MSBwiO3YDb3RA,2026-05-04T09:04:12Z,hantavirus cruise ship outbreak,https://www.youtube.com/watch?v=qvVlm4UdV3o,132327,870,419,191
E__4-fhFEdg,Cruise ship at center of hantavirus outbreak docks,"The cruise ship at the center of a hantavirus outbreak arrived in Spain, and officials started moving passengers back to their home ...",USA TODAY,UCP6HGa63sBC7-KHtkme-p-g,2026-05-10T15:24:06Z,hantavirus cruise ship outbreak,https://www.youtube.com/watch?v=E__4-fhFEdg,153007,1475,269,131
SBJq1fMCoSU,What is the Hantavirus? What to Know After Cruise Ship Outbreak,The cruise ship at the center of the hantavirus outbreak is now heading towards the Canary Islands and sparking a global race to ...,TODAY,UChDKyKQ59fYz3JO2fl0Z6sg,2026-05-07T12:47:23Z,hantavirus cruise ship outbreak,https://www.youtube.com/watch?v=SBJq1fMCoSU,188465,1340,555,345
txlf0do-J3c,Cruise ship on lockdown after suspected Hantavirus outbreak,Three people are dead and at least three others are sick after a suspected outbreak of hantavirus aboard a cruise ship sailing in ...,CNN,UCupvZG-5ko_eiXAupbDfxWw,2026-05-04T09:21:19Z,hantavirus cruise ship outbreak,https://www.youtube.com/watch?v=txlf0do-J3c,52655,809,62,42
eHA5azk9cEE,Passengers trapped on board cruise ship amid virus outbreak,"Tonight, passengers are trapped on a cruise ship off the coast of Africa because of a suspected Hantavirus outbreak that's left ...",NBC News,UCeY0bbntWzzVIaj2z3QigXg,2026-05-04T23:22:57Z,hantavirus cruise ship outbreak,https://www.youtube.com/watch?v=eHA5azk9cEE,53269,352,198,114
